Feature,count,mean,std,min,5%,95%,max
brent_crude_Close,4711.0,78.30272674560547,23.70017433166504,19.329999923706055,43.09000015258789,115.69000244140625,146.0800018310547
coffee_futures_Close,6644.0,145.81263732910156,72.95877075195312,41.5,57.5,297.5049743652344,438.8999938964844
copper_futures_Close,6483.0,2.906013250350952,1.2411020994186401,0.6039999723434448,0.7305499911308289,4.685699939727783,6.649499893188477
corn_futures_Close,6492.0,412.5909118652344,155.59780883789062,174.75,203.75,719.5,831.25
cotton_futures_Close,6646.0,71.52516174316406,23.951078414916992,28.520000457763672,43.13749694824219,114.41500091552734,215.14999389648438
gold_Close,6482.0,1319.2890625,865.6555786132812,255.10000610351562,284.42498779296875,3017.945068359375,5318.39990234375
lumber_futures_Close,5717.0,355.8299255371094,192.7336883544922,138.10000610351562,199.5800018310547,754.0999755859375,1686.0
natural_gas_Close,6486.0,4.3727264404296875,2.1918256282806396,1.4819999933242798,2.0762500762939453,8.367000579833984,15.378000259399414
palladium_futures_Close,6205.0,892.2285766601562,627.5634155273438,148.5,194.85000610351562,2287.079833984375,2985.39990234375
platinum_futures_Close,5966.0,1086.53271484375,382.9586181640625,412.0,541.5250244140625,1782.425048828125,2852.39990234375
silver_Close,6483.0,19.145286560058594,12.760756492614746,4.026000022888184,4.523200035095215,37.55950164794922,115.08000183105469
soybean_futures_Close,6484.0,1010.3843383789062,322.8053894042969,418.5,484.0375061035156,1523.2125244140625,1771.0
sugar_futures_Close,6607.0,15.045100212097168,5.823349475860596,4.960000038146973,6.400000095367432,25.996999740600586,35.310001373291016
wheat_futures_Close,6504.0,538.7612915039062,177.4319305419922,233.5,278.25,858.6375122070312,1425.25
wti_crude_Close,6491.0,65.01582336425781,24.576152801513672,-37.630001068115234,26.979999542236328,104.5,145.2899932861328
aud_usd_Close,5055.0,0.7940829396247864,0.12570378184318542,0.5742902159690857,0.6442051529884338,1.0404247045516968,1.10349702835083
dxy_Close,6666.0,92.96495056152344,11.20044231414795,71.33000183105469,76.1925048828125,113.41500091552734,120.9000015258789
eur_usd_Close,5656.0,1.2236047983169556,0.12617841362953186,0.9596191644668579,1.0585455894470215,1.4486507177352905,1.5987977981567383
gbp_usd_Close,5669.0,1.5141363143920898,0.23725593090057373,1.072754144668579,1.225943922996521,1.971173644065857,2.1081924438476562
nzd_usd_Close,5663.0,0.6943880319595337,0.07734613865613937,0.49280503392219543,0.5780162811279297,0.832292914390564,0.8823789358139038
usd_cad_Close,5723.0,1.2151623964309692,0.13840587437152863,0.9186999797821045,0.990319013595581,1.388630986213684,1.4716999530792236
usd_chf_Close,5721.0,1.0052417516708374,0.135080948472023,0.7228000164031982,0.8105199933052063,1.2727999687194824,1.3858000040054321
usd_jpy_Close,6638.0,113.250732421875,18.9980411529541,75.73999786376953,80.81175231933594,151.65260314941406,162.6280059814453
10y_2y_treasury_spread,6620.0,1.0513882175226588,0.9649071138568216,-1.08,-0.41,2.58,2.91
10y_3m_treasury_spread,6620.0,1.3635528700906343,1.3378692381084933,-1.89,-1.0604999999999996,3.42,3.85
building_permits,202.0,1374.1930693069307,444.1088761577219,521.0,583.2,2111.25,2263.0
capacity_utilization,202.0,76.90191237623762,3.092170311982148,64.0847,71.18348999999999,80.760195,82.3967
continuing_claims,0.0,,,,,,
core_cpi_ex_food_energy,201.0,239.51766666666666,41.04956943797746,179.4,185.3,318.94,336.121
core_pce_price_index,202.0,95.76246534653467,14.430075815844905,74.415,76.1565,123.11715,130.082
core_ppi,125.0,119.20524,15.168064805436963,99.9,100.94,146.8346,154.147
corporate_bond_spread_ice_bofa_ig,751.0,0.9257656458055925,0.15775734427134935,0.73,0.75,1.26,1.33
cpi,201.0,234.39488059701492,41.77870777113231,170.0,177.3,313.569,333.979
effective_fed_funds_rate,6667.0,2.0382945852707364,2.0256083716608977,0.04,0.08,5.33,7.03
existing_home_sales,7.0,4108571.4285714286,91365.30549184985,4030000.0,4030000.0,4246000.0,4270000.0
fed_total_assets_balance_sheet,1217.0,3975205.002465078,2586045.432949486,712809.0,756946.0,8586313.4,8965487.0
fred_macro_combined_T10Y2Y,6620.0,1.0513882175226588,0.9649071138568216,-1.08,-0.41,2.58,2.91
fred_macro_combined_T10Y3M,6620.0,1.3635528700906343,1.3378692381084933,-1.89,-1.0604999999999996,3.42,3.85
fred_macro_combined_PERMIT,202.0,1374.1930693069307,444.1088761577219,521.0,583.2,2111.25,2263.0
fred_macro_combined_TCU,202.0,76.90191237623762,3.092170311982148,64.0847,71.18348999999999,80.760195,82.3967
fred_macro_combined_CCSA,0.0,,,,,,
fred_macro_combined_CPILFESL,201.0,239.51766666666666,41.04956943797746,179.4,185.3,318.94,336.121
fred_macro_combined_PCEPILFE,202.0,95.76246534653467,14.430075815844905,74.415,76.1565,123.11715,130.082
fred_macro_combined_PPIFES,125.0,119.20524,15.168064805436963,99.9,100.94,146.8346,154.147
fred_macro_combined_BAMLC0A0CM,751.0,0.9257656458055925,0.15775734427134935,0.73,0.75,1.26,1.33
fred_macro_combined_CPIAUCSL,201.0,234.39488059701492,41.77870777113231,170.0,177.3,313.569,333.979
fred_macro_combined_DFF,6667.0,2.0382945852707364,2.0256083716608977,0.04,0.08,5.33,7.03
fred_macro_combined_EXHOSLUSM495S,7.0,4108571.4285714286,91365.30549184985,4030000.0,4030000.0,4246000.0,4270000.0
fred_macro_combined_WALCL,1217.0,3975205.002465078,2586045.432949486,712809.0,756946.0,8586313.4,8965487.0
fred_macro_combined_GDP,54.0,18321.07281481482,5861.44850008036,10660.465,11034.34545,30056.373449999996,31422.526
fred_macro_combined_BAMLH0A0HYM2,752.0,3.1992420212765955,0.4500641586932355,2.59,2.67,4.063499999999998,4.61
fred_macro_combined_HOUST,202.0,1311.1782178217823,426.1982673653962,478.0,561.0500000000001,2040.0499999999995,2207.0
fred_macro_combined_INDPRO,202.0,97.18488168316831,4.712475303572131,84.5619,88.50633,102.64707499999999,104.0681
fred_macro_combined_ICSA,0.0,,,,,,
fred_macro_combined_AMTMNO,202.0,454458.9702970297,85707.46377095093,310008.0,322542.05,596322.15,665895.0
fred_macro_combined_CIVPART,202.0,64.1079207920792,1.7998442811757247,60.1,61.7,66.795,67.3
fred_macro_combined_M2SL,202.0,11993.062376237624,5747.169162228822,4680.9,5139.345,21721.184999999998,23052.3
fred_macro_combined_AAA10Y,6616.0,1.46061215235792,0.45206338407061597,0.63,0.77,2.18,3.2
fred_macro_combined_BAA10Y,6616.0,2.455790507859734,0.7430860723402818,1.36,1.59,3.44,6.16
fred_macro_combined_USREC,203.0,0.07881773399014778,0.2701202176090794,0.0,0.0,1.0,1.0
fred_macro_combined_HSN1F,202.0,698.3564356435644,275.31754923828487,270.0,310.35,1237.7499999999998,1389.0
fred_macro_combined_PAYEMS,203.0,140623.94581280788,9271.368552359618,129706.0,130348.4,157926.19999999998,158984.0
fred_macro_combined_PCEPI,202.0,96.14835643564356,14.887090217900328,73.191,75.3878,123.88135,131.527
fred_macro_combined_PPIACO,202.0,192.61473267326735,39.70440094442984,128.4,131.665,261.2959,292.504
fred_macro_combined_GDPC1,54.0,18474.038055555553,2854.4482886051987,14253.574,14531.29855,23651.0939,24055.749
fred_macro_combined_RSAFS,202.0,441080.0198019802,137681.0851850787,265686.0,274533.25,698745.2,763705.0
fred_macro_combined_RRPONTSYD,3278.0,416.5032922513728,687.6326901966149,0.0,0.015,2173.1945499999997,2553.716
fred_macro_combined_SOFR,2062.0,2.657875848690592,1.9444074366195476,0.01,0.020500000000000115,5.32,5.4
fred_macro_combined_DTWEXBGS,5093.0,106.36445006872177,12.336104163331983,85.4692,88.71288,123.39341999999999,130.0413
fred_macro_combined_UNRATE,202.0,5.692079207920793,2.0616702482696803,3.5,3.6,9.784999999999997,14.8
gdp_nominal,54.0,18321.07281481482,5861.44850008036,10660.465,11034.34545,30056.373449999996,31422.526
high_yield_spread_ice_bofa,752.0,3.1992420212765955,0.4500641586932355,2.59,2.67,4.063499999999998,4.61
housing_starts,202.0,1311.1782178217823,426.1982673653962,478.0,561.0500000000001,2040.0499999999995,2207.0
industrial_production_index,202.0,97.18488168316831,4.712475303572131,84.5619,88.50633,102.64707499999999,104.0681
initial_jobless_claims,0.0,,,,,,
ism_manufacturing_pmi_proxy_new_orders,202.0,454458.9702970297,85707.46377095093,310008.0,322542.05,596322.15,665895.0
labor_force_participation_rate,202.0,64.1079207920792,1.7998442811757247,60.1,61.7,66.795,67.3
m2_money_supply,202.0,11993.062376237624,5747.169162228822,4680.9,5139.345,21721.184999999998,23052.3
moody_s_aaa_corporate_spread,6616.0,1.46061215235792,0.45206338407061597,0.63,0.77,2.18,3.2
moody_s_baa_corporate_spread,6616.0,2.455790507859734,0.7430860723402818,1.36,1.59,3.44,6.16
