Feature,Category,TotalMissing,StructuralMissing,WeekendMissing,OtherInternal,CoveragePct,ProbableCause
ABBV,Equity,3269,3269,0,0,50.97,Unexpected Missing
ABNB,Equity,5269,5269,0,0,20.98,Unexpected Missing
ACGL,Equity,3,0,0,3,99.96,Different exchange holiday or halt
ACN,Equity,389,389,0,0,94.17,Unexpected Missing
AIZ,Equity,1027,1027,0,0,84.6,Unexpected Missing
ALGN,Equity,271,271,0,0,95.94,Unexpected Missing
ALLE,Equity,3491,3491,0,0,47.65,Unexpected Missing
AMCR,Equity,4372,3111,0,1261,34.43,Different exchange holiday or halt
AMP,Equity,1433,1433,0,0,78.51,Unexpected Missing
ANET,Equity,3628,3628,0,0,45.59,Unexpected Missing
APO,Equity,2827,2827,0,0,57.6,Unexpected Missing
APP,Equity,5354,5354,0,0,19.71,Unexpected Missing
APTV,Equity,2989,2989,0,0,55.17,Unexpected Missing
ARES,Equity,3604,3604,0,0,45.95,Unexpected Missing
AVGO,Equity,2412,2412,0,0,63.83,Unexpected Missing
AWK,Equity,2087,2087,0,0,68.7,Unexpected Missing
AXON,Equity,368,368,0,0,94.48,Unexpected Missing
BG,Equity,399,399,0,0,94.02,Unexpected Missing
BIIB,Equity,1,0,0,1,99.99,Different exchange holiday or halt
BLDR,Equity,1378,1378,0,0,79.33,Unexpected Missing
BR,Equity,1813,1813,0,0,72.81,Unexpected Missing
BX,Equity,1877,1877,0,0,71.85,Unexpected Missing
CARR,Equity,5084,5084,0,0,23.76,Unexpected Missing
CBOE,Equity,2627,2627,0,0,60.6,Unexpected Missing
CBRE,Equity,1114,1114,0,0,83.29,Unexpected Missing
CDW,Equity,3391,3391,0,0,49.15,Unexpected Missing
CEG,Equity,5547,5547,0,0,16.81,Unexpected Missing
CF,Equity,1409,1409,0,0,78.87,Unexpected Missing
CFG,Equity,3704,3704,0,0,44.45,Unexpected Missing
CHTR,Equity,2522,2516,0,6,62.18,Different exchange holiday or halt
CME,Equity,735,735,0,0,88.98,Unexpected Missing
CMG,Equity,1524,1524,0,0,77.14,Unexpected Missing
CNC,Equity,488,488,0,0,92.68,Unexpected Missing
COIN,Equity,5353,5353,0,0,19.72,Unexpected Missing
CPAY,Equity,2755,2755,0,0,58.68,Unexpected Missing
CRL,Equity,120,120,0,0,98.2,Unexpected Missing
CRM,Equity,1122,1122,0,0,83.17,Unexpected Missing
CRWD,Equity,4890,4890,0,0,26.66,Unexpected Missing
CTVA,Equity,4878,4878,0,0,26.84,Unexpected Missing
CVNA,Equity,4357,4357,0,0,34.66,Unexpected Missing
DAL,Equity,1842,1842,0,0,72.38,Unexpected Missing
DASH,Equity,5268,5268,0,0,21.0,Unexpected Missing
DDOG,Equity,4959,4959,0,0,25.63,Unexpected Missing
DECK,Equity,12,0,0,12,99.82,Different exchange holiday or halt
DELL,Equity,4182,4182,0,0,37.28,Unexpected Missing
DG,Equity,2482,2482,0,0,62.78,Unexpected Missing
DLR,Equity,1212,1212,0,0,81.82,Unexpected Missing
DOW,Equity,4832,4832,0,0,27.53,Unexpected Missing
DPZ,Equity,1135,1135,0,0,82.98,Unexpected Missing
DXCM,Equity,1326,1326,0,0,80.11,Unexpected Missing
ECHO,Equity,2010,2010,0,0,69.86,Unexpected Missing
ELV,Equity,457,457,0,0,93.15,Unexpected Missing
EQIX,Equity,154,154,0,0,97.69,Unexpected Missing
EW,Equity,58,58,0,0,99.13,Unexpected Missing
EXE,Equity,5310,5310,0,0,20.37,Unexpected Missing
EXPE,Equity,1394,1394,0,0,79.09,Unexpected Missing
EXR,Equity,1159,1159,0,0,82.62,Unexpected Missing
FANG,Equity,3216,3216,0,0,51.77,Unexpected Missing
FDXF,Equity,6638,6638,0,0,0.45,Unexpected Missing
FIS,Equity,369,369,0,0,94.47,Unexpected Missing
FISV,Equity,1,0,0,1,99.99,Different exchange holiday or halt
FOX,Equity,4827,4827,0,0,27.61,Unexpected Missing
FOXA,Equity,4826,4826,0,0,27.62,Unexpected Missing
FSLR,Equity,1730,1730,0,0,74.06,Unexpected Missing
