Ticker,Number of Events,Events / Year,Positive Events,Negative Events,Positive %,Negative %,Average Interval,Median Interval,Minimum Interval,Maximum Interval,Average Threshold
A,2587,67.410195429635,1353,1234,52.29996134518748,47.70003865481252,3.7296983758700697,3.0,1.0,21.0,0.029716627555596
AAPL,2669,69.48223140495868,1535,1134,57.5121768452604,42.4878231547396,3.6184407796101947,3.0,1.0,19.0,0.028847300019654225
ABBV,1311,67.02617163724894,728,583,55.5301296720061,44.4698703279939,3.7526717557251907,3.0,1.0,17.0,0.0216224919263597
ABNB,547,67.90344827586208,271,276,49.54296160877514,50.45703839122486,3.708791208791209,3.0,1.0,14.0,0.038060287791753404
ABT,2623,68.34119106699752,1391,1232,53.03088067098742,46.969119329012585,3.678871090770404,3.0,1.0,17.0,0.01908902887064918
ACGL,2597,67.6567765946449,1454,1143,55.98767809010396,44.01232190989604,3.7161016949152543,3.0,1.0,29.0,0.019043471769281162
ACN,2430,67.22582061697223,1316,1114,54.15637860082304,45.84362139917695,3.739810621655002,3.0,1.0,22.0,0.022983037757178266
ADBE,2613,68.08064516129032,1412,1201,54.037504783773436,45.962495216226564,3.6929555895865236,3.0,1.0,22.0,0.03106543434189877
ADI,2732,71.15171558495246,1436,1296,52.56222547584187,47.43777452415813,3.533504210911754,3.0,1.0,26.0,0.030350247275166237
ADM,2603,67.79906976744186,1382,1221,53.092585478294275,46.907414521705725,3.7083013066871637,3.0,1.0,24.0,0.023639816697328845
ADP,2614,68.10669975186104,1408,1206,53.86381025248661,46.13618974751339,3.691542288557214,3.0,1.0,18.0,0.01862818566211175
ADSK,2635,68.64674868189806,1413,1222,53.62428842504744,46.37571157495256,3.662490508731967,3.0,1.0,20.0,0.03176159424731771
AEE,2698,70.23719008264463,1424,1274,52.779836916234245,47.220163083765755,3.5795328142380423,3.0,1.0,20.0,0.016243261053596095
AEP,2707,70.47148760330579,1436,1271,53.04765422977466,46.95234577022534,3.567627494456763,3.0,1.0,21.0,0.01804909336558637
AES,2636,68.97943925233645,1337,1299,50.72078907435509,49.27921092564492,3.6447817836812146,3.0,1.0,41.0,0.034527735949349256
AFL,2515,65.47990494885835,1361,1154,54.115308151093444,45.88469184890656,3.83969769291965,3.0,1.0,21.0,0.023255987186382936
AIG,2589,67.40655026345696,1329,1260,51.33256083429896,48.66743916570104,3.729907264296754,3.0,1.0,26.0,0.031038522609406313
