Ticker,Number of Events,Positive Labels,Negative Labels,Neutral Labels,PT hits,SL hits,Vertical hits,Positive %,Negative %,Neutral %,Average Holding Days,Median Holding Days,Average Return,Median Return,Average Volatility,Average Barrier Width
A,2587,1161,1110,316,1161,1110,316,44.8782373405489,42.906841901816776,12.214920757634326,3.74758407421724,3.0,-0.0002540287229053108,0.003929342636956353,0.029716627555596,2.956210220212332
AAPL,2669,1287,1063,319,1287,1063,319,48.220307231172725,39.82765080554515,11.952041963282129,3.835518920944174,4.0,0.0018166904343153338,0.013436026027553678,0.028847300019654225,2.5206996708099516
ABBV,1311,612,503,196,612,503,196,46.681922196796336,38.36765827612509,14.950419527078566,3.7833714721586573,3.0,0.0016602363544931029,0.009854336985683327,0.0216224919263597,4.58151523941075
ABNB,547,244,238,65,244,238,65,44.60694698354662,43.51005484460695,11.882998171846435,3.8171846435100547,4.0,-0.00034730111943813977,0.004684213729142648,0.038060287791753404,10.490709024196546
ABT,2623,1198,1132,293,1198,1132,293,45.67289363324438,43.15669081204727,11.170415554708349,3.705299275638582,3.0,0.0003073463052514939,0.003599023723373413,0.01908902887064918,1.96525401756916
ACGL,2597,1239,1090,268,1239,1090,268,47.7088948787062,41.97150558336542,10.319599537928378,3.5529457065845205,3.0,0.0007818686686746862,0.007968207796150269,0.019043471769281162,1.0143663191655
ACN,2430,1098,1037,295,1098,1037,295,45.18518518518518,42.674897119341566,12.139917695473251,3.706172839506173,3.0,0.000342085827180487,0.004424788389202634,0.022983037757178266,5.207884903787677
ADBE,2613,1196,1088,329,1196,1088,329,45.77114427860697,41.637964026023724,12.590891695369308,3.774971297359357,3.0,0.0004730285488613065,0.00579210304387812,0.03106543434189877,8.56322597680867
ADI,2732,1209,1222,301,1209,1222,301,44.25329428989751,44.72913616398243,11.017569546120058,3.634333821376281,3.0,-0.0008739979784525521,0.0008580656440468017,0.030350247275166237,4.788761418034287
ADM,2603,1216,1091,296,1216,1091,296,46.715328467153284,41.9131771033423,11.371494429504418,3.6819054936611604,3.0,0.0011068976900196555,0.008168718571209304,0.023639816697328845,1.7599681512983198
ADP,2614,1166,1133,315,1166,1133,315,44.605967865340475,43.343534812547816,12.050497322111706,3.7039020657995407,3.0,0.0001553370101795374,0.002518139593721871,0.01862818566211175,3.5988686968878736
ADSK,2635,1214,1106,315,1214,1106,315,46.07210626185958,41.97343453510437,11.954459203036052,3.804554079696395,3.0,0.0008728749753162365,0.008210206086056972,0.03176159424731771,5.351710415131858
